source,target,weight
539,542,0.011
540,528,0.013
541,535,0.019
541,557,0.011
543,544,0.002
543,545,0.003
545,568,0.002
547,546,0.003
547,548,0.003
548,549,0.002
551,553,0.011
552,550,0.009
553,507,0.003
555,496,0.013
555,522,0.004
556,448,0.004
557,540,0.002
558,561,0.005
559,481,0.002
561,508,0.007
562,563,0.008
564,567,0.009
565,516,0.005
566,555,0.012
567,566,0.013
568,547,0.002
568,569,0.001
570,402,0.03
570,518,0.014
571,504,0.007
571,572,0.031
572,497,0.026
574,514,0.029
575,477,0.007
575,565,0.005
577,578,0.007
578,498,0.02
579,577,0.019
580,588,0.017
581,580,0.014
582,583,0.007
583,455,0.011
584,541,0.012
585,584,0.009
586,462,0.007
586,469,0.013
587,586,0.007
588,492,0.011
588,587,0.019
589,55,0.058
590,589,0.055
590,591,0.011
592,52,0.032
594,590,0.069
595,598,0.029
595,600,0.017
596,595,0.036
597,618,0.032
600,623,0.011
602,627,0.013
603,604,0.036
604,605,0.032
606,615,0.029
607,608,0.009
607,614,0.02
608,606,0.023
609,625,0.012
609,640,0.024
610,617,0.01
611,601,0.022
612,610,0.027
612,613,0.012
613,607,0.017
614,609,0.024
614,624,0.019
615,616,0.006
617,603,0.015
617,622,0.011
618,596,0.022
618,619,0.017
619,593,0.046
620,44,0.049
621,597,0.03
621,620,0.052
622,594,0.045
623,599,0.008
623,612,0.016
624,602,0.03
626,611,0.022
627,626,0.006
627,634,0.021
629,662,0.014
631,630,0.006
631,632,0.008
632,628,0.011
633,650,0.02
634,633,0.016
635,637,0.018
635,642,0.018
636,635,0.019
637,638,0.005
638,639,0.021
639,646,0.022
641,647,0.008
642,641,0.023
644,629,0.031
645,636,0.013
646,643,0.025
646,644,0.013
648,645,0.041
648,649,0.033
650,648,0.012
651,656,0.009
652,651,0.004
652,675,0.015
653,674,0.011
655,631,0.017
655,658,0.01
658,657,0.005
659,661,0.014
660,653,0.019
661,660,0.017
661,667,0.021
662,663,0.008
663,664,0.011
664,669,0.015
665,655,0.013
666,670,0.003
667,665,0.009
667,666,0.004
668,680,0.016
669,659,0.015
669,668,0.015
671,672,0.014
671,679,0.002
672,673,0.006
673,682,0.008
674,688,0.032
675,676,0.015
675,684,0.019
676,677,0.006
677,678,0.006
678,654,0.004
678,671,0.008
680,681,0.014
681,652,0.012
682,685,0.018
683,691,0.01
684,683,0.008
684,686,0.014
686,687,0.013
688,689,0.025
691,690,0.007
691,692,0.017
693,719,0.044
694,693,0.029
695,694,0.01
696,697,0.01
697,15,0.059
700,716,0.029
701,700,0.009
702,701,0.022
705,704,0.013
706,705,0.018
708,706,0.033
708,724,0.014
709,713,0.021
710,702,0.019
710,725,0.024
711,707,0.013
711,712,0.008
712,726,0.019
713,711,0.01
714,699,0.042
714,709,0.034
715,714,0.022
716,718,0.035
718,698,0.063
719,715,0.046
719,721,0.024
721,722,0.021
722,24,0.056
722,717,0.051
722,720,0.018
723,708,0.012
724,710,0.018
724,740,0.024
726,703,0.018
726,757,0.009
727,728,0.022
729,733,0.004
730,729,0.008
731,776,0.007
732,739,0.012
733,732,0.006
733,769,0.011
734,735,0.005
735,743,0.019
736,752,0.018
737,746,0.019
739,751,0.031
740,753,0.02
740,754,0.014
741,723,0.022
742,741,0.006
743,744,0.005
744,745,0.029
745,736,0.018
746,747,0.013
747,731,0.007
748,760,0.022
748,763,0.018
749,742,0.019
749,748,0.006
750,749,0.004
752,737,0.017
752,738,0.007
756,755,0.006
757,750,0.01
757,756,0.016
758,761,0.033
760,759,0.005
761,734,0.036
761,762,0.004
763,758,0.005
764,779,0.007
764,780,0.014
765,782,0.014
766,765,0.012
767,768,0.006
769,770,0.012
770,771,0.02
771,775,0.007
772,764,0.01
773,730,0.01
774,772,0.029
775,727,0.014
775,774,0.021
776,773,0.01
777,784,0.007
777,785,0.023
778,766,0.022
779,778,0.008
779,781,0.002
780,777,0.023
781,787,0.025
782,783,0.017
782,793,0.026
784,789,0.02
786,795,0.008
