id,name,x,y,hue
862,862,9.3081E-4,0.26746,
615,615,0.0802507,0.282793,
681,681,0.0914195,0.0302998,
225,225,-0.0462971,0.31557,
865,865,0.0159787,0.252883,
297,297,-0.0223909,0.652076,
39,39,0.0427652,0.597009,
805,805,-2.779E-5,0.610877,
274,274,-0.0623438,0.0766267,
88,88,-0.0140674,0.363887,
217,217,-0.080839,0.216429,
46,46,0.0264737,0.596079,
682,682,0.0624493,0.0217164,
508,508,0.0076323,0.838056,
149,149,0.0932158,0.406599,
415,415,-0.0462749,0.893928,
239,239,-0.084,0.344751,
478,478,0.0171294,0.835577,
157,157,0.097913,0.320981,
345,345,-0.0448483,0.842984,
300,300,-0.00594359,0.679426,
743,743,-0.0675813,0.16753,
4,4,-0.0399703,0.61752,
550,550,0.00988657,0.822776,
204,204,0.0525703,0.0139211,
470,470,0.0026867,0.869843,
646,646,0.072844,0.12313,
77,77,6.754E-5,0.467801,
106,106,-0.100801,0.508517,
197,197,0.0830067,0.0458494,
405,405,-0.0303951,0.864731,
726,726,-0.0942828,0.237375,
776,776,-0.0748396,0.0781205,
755,755,-0.0991734,0.230062,
518,518,0.0226102,0.844183,
232,232,-0.0638128,0.252037,
260,260,-0.0731502,0.0389463,
823,823,0.0082479,0.593151,
267,267,-0.0705548,0.0477509,
119,119,0.0187511,0.355947,
319,319,-0.0269043,0.767067,
534,534,0.0530632,0.859658,
222,222,-0.0847233,0.310165,
603,603,0.0604816,0.327007,
293,293,-0.0649329,0.0308649,
95,95,-0.0303208,0.448246,
450,450,-0.0252988,0.851492,
329,329,0.0272518,0.665336,
144,144,0.100606,0.406381,
504,504,0.0351113,0.764039,
819,819,0.010928,0.576604,
818,818,0.00379576,0.578147,
505,505,0.0188053,0.80689,
723,723,-0.0586579,0.242657,
176,176,0.0599544,0.090234,
863,863,-7.1619E-4,0.281729,
471,471,0.00641983,0.801923,
349,349,-0.0346036,0.845032,
512,512,0.0178844,0.836897,
710,710,-0.0630263,0.263689,
192,192,0.0788907,0.0818588,
54,54,0.107101,0.532993,
92,92,-0.0553338,0.607472,
221,221,-0.0690193,0.227867,
141,141,0.0997366,0.518664,
502,502,0.0336478,0.77882,
871,871,0.0143897,0.294592,
464,464,-0.0111246,0.80604,
801,801,-0.0165356,0.595136,
307,307,0.0456973,0.616574,
758,758,-0.0922624,0.198945,
290,290,-0.0396546,0.0132148,
627,627,0.100795,0.240075,
517,517,0.0451742,0.852978,
361,361,-0.0152206,0.792376,
264,264,-0.0591316,0.0506778,
137,137,0.0501724,0.414316,
356,356,-0.0419279,0.856358,
728,728,-0.0562565,0.0862778,
678,678,0.0944001,0.0296254,
327,327,0.00334092,0.64585,
234,234,-0.074037,0.326586,
856,856,-1.1403E-4,0.306409,
817,817,0.00346815,0.579508,
104,104,-0.100342,0.479077,
353,353,-0.0298695,0.852992,
15,15,-0.0314103,0.423774,
48,48,0.106744,0.496351,
759,759,-0.063495,0.200536,
242,242,-0.0490088,0.0877599,
832,832,-0.0216138,0.498103,
50,50,0.0885517,0.56717,
557,557,0.0237616,0.860713,
251,251,-0.0634674,0.183141,
394,394,-0.00730164,0.788257,
116,116,0.0957519,0.536711,
