source,target,weight
20,313,0.512
70,344,0.37
12,312,0.375
70,300,0.321
204,298,0.344
257,297,0.0
44,331,0.407
59,334,0.465
22,331,0.598
67,311,0.494
153,297,0.0
56,318,0.598
287,297,0.0
15,311,0.405
33,320,0.395
66,343,0.378
141,186,0.0
37,325,0.431
53,312,0.424
34,322,0.396
35,324,0.409
56,338,0.395
8,322,0.456
17,338,0.392
14,337,0.364
4,318,0.335
23,312,0.537
36,324,0.407
33,323,0.405
5,326,0.354
22,302,0.334
70,337,0.499
14,323,0.591
70,143,0.339
65,321,0.706
45,328,0.496
68,308,0.479
41,326,0.467
68,304,0.396
8,316,0.383
13,333,0.424
161,321,0.345
0,339,0.483
49,334,0.389
13,326,0.529
7,328,0.372
132,322,0.324
44,313,0.355
9,322,0.479
68,334,0.56
0,331,0.653
5,322,0.384
12,319,0.526
64,318,0.676
38,327,0.402
58,322,0.657
69,319,0.707
23,179,0.33
66,320,0.723
43,333,0.391
20,322,0.677
8,314,0.338
23,316,0.639
66,333,0.575
24,316,0.654
31,33,0.0
16,314,0.487
65,338,0.441
145,186,0.0
111,322,0.321
66,327,0.683
252,297,0.0
43,316,0.45
43,319,0.51
9,332,0.359
59,310,0.421
43,315,0.429
7,315,0.343
50,327,0.543
35,317,0.364
51,324,0.562
22,329,0.625
69,141,0.319
62,69,0.0
20,314,0.541
303,343,0.0
53,318,0.56
43,46,0.0
24,224,0.327
64,310,0.487
66,339,0.451
66,185,0.319
46,309,0.322
18,321,0.665
24,300,0.322
66,336,0.501
51,321,0.586
168,233,0.0
15,326,0.57
58,341,0.359
9,323,0.486
62,335,0.513
68,311,0.531
69,223,0.318
66,335,0.535
38,328,0.377
62,65,0.0
54,339,0.367
43,320,0.524
64,333,0.567
22,311,0.494
33,327,0.363
47,338,0.32
24,181,0.352
11,313,0.372
54,322,0.627
63,305,0.359
34,316,0.328
118,298,0.328
92,121,0.0
12,314,0.418
113,321,0.324
24,335,0.546
49,324,0.547
29,323,0.37
27,202,0.0
55,330,0.512
20,307,0.401
68,341,0.433
20,305,0.36
8,317,0.4
13,320,0.56
62,306,0.403
22,327,0.663
57,298,0.664
66,321,0.741
61,322,0.662
66,342,0.395
64,311,0.506
159,323,0.326
94,324,0.322
43,311,0.338
53,306,0.319
42,327,0.448
49,314,0.43
14,329,0.508
68,222,0.329
51,338,0.34
13,319,0.545
39,319,0.459
59,326,0.607
11,317,0.464
59,330,0.54
24,319,0.72
66,308,0.462
4,30,0.0
74,210,0.0
43,317,0.468
24,183,0.351
56,315,0.533
61,65,0.0
0,144,0.356
3,298,0.377
62,318,0.661
22,343,0.361
32,324,0.365
55,334,0.438
196,319,0.325
52,54,0.0
27,161,0.0
40,330,0.365
55,315,0.509
7,331,0.343
162,322,0.334
0,342,0.426
65,312,0.507
99,323,0.345
58,339,0.392
17,339,0.373
12,309,0.323
49,316,0.479
34,318,0.362
70,225,0.32
0,313,0.591
0,223,0.346
3,323,0.358
47,330,0.451
36,315,0.327
66,330,0.62
63,319,0.657
253,297,0.0
68,303,0.381
49,309,0.334
4,319,0.353
49,315,0.457
74,79,0.0
13,47,0.0
21,326,0.661
57,342,0.32
24,225,0.321
67,325,0.693
74,205,0.0
10,333,0.366
68,183,0.356
8,321,0.469
24,184,0.342
50,337,0.364
32,319,0.358
17,309,0.399
19,315,0.558
11,326,0.489
7,298,0.461
65,341,0.387
12,330,0.447
68,143,0.346
164,321,0.317
4,325,0.358
42,326,0.453
19,342,0.345
19,338,0.418
17,334,0.458
32,322,0.373
46,334,0.376
57,315,0.528
42,314,0.365
22,326,0.669
99,204,0.0
63,311,0.468
24,311,0.525
60,326,0.644
62,336,0.479
58,318,0.617
40,317,0.4
36,317,0.362
42,315,0.391
23,322,0.723
196,323,0.346
21,335,0.508
0,147,0.336
13,332,0.436
225,299,0.0
99,319,0.324
269,275,0.0
45,310,0.353
22,336,0.482
70,309,0.489
207,321,0.333
0,182,0.374
7,35,0.0
12,331,0.445
60,330,0.575
60,339,0.411
67,328,0.632
63,316,0.593
69,343,0.378
50,333,0.442
224,345,0.0
43,318,0.489
64,335,0.527
63,340,0.394
67,318,0.664
63,309,0.435
54,317,0.565
45,320,0.561
7,330,0.345
51,337,0.355
69,143,0.331
17,336,0.419
39,322,0.476
50,315,0.481
9,315,0.384
69,144,0.328
51,315,0.471
59,322,0.642
66,183,0.341
0,24,0.0
23,323,0.731
16,336,0.405
121,135,0.0
162,325,0.325
14,322,0.583
65,336,0.469
298,323,0.0
23,340,0.434
0,334,0.575
22,320,0.702
37,317,0.387
6,321,0.422
21,307,0.419
70,310,0.505
47,322,0.548
62,323,0.71
23,326,0.686
17,314,0.501
63,343,0.338
66,310,0.495
114,205,0.0
66,142,0.327
66,311,0.513
11,323,0.53
66,307,0.443
120,321,0.318
63,341,0.375
65,333,0.542
56,326,0.602
69,331,0.618
26,298,0.34
47,318,0.51
57,334,0.457
64,330,0.612
37,332,0.326
65,308,0.431
63,317,0.612
70,223,0.327
5,328,0.325
13,313,0.408
53,330,0.499
249,270,0.0
0,329,0.681
27,319,0.333
57,329,0.555
9,298,0.507
43,298,0.556
249,268,0.0
54,340,0.353
23,70,0.0
69,327,0.683
64,302,0.344
16,333,0.475
18,313,0.488
57,341,0.34
39,316,0.402
317,329,0.0
99,205,0.0
64,340,0.429
188,347,0.0
17,328,0.564
38,332,0.324
45,325,0.553
23,331,0.615
97,323,0.324
201,322,0.343
249,266,0.0
66,329,0.645
254,297,0.0
46,310,0.336
314,333,0.0
6,329,0.343
55,318,0.573
68,224,0.332
161,319,0.319
267,275,0.0
72,321,0.319
4,317,0.317
0,337,0.521
69,317,0.662
36,330,0.329
205,209,0.0
200,323,0.353
205,234,0.0
51,313,0.416
18,312,0.47
59,324,0.632
27,162,0.0
89,233,0.0
9,321,0.492
25,298,0.352
51,334,0.402
67,321,0.72
49,312,0.387
122,205,0.0
66,224,0.318
11,329,0.449
69,345,0.341
52,320,0.603
48,316,0.452
74,298,0.328
18,328,0.579
56,325,0.626
10,327,0.46
60,325,0.668
74,195,0.0
70,178,0.33
45,332,0.437
45,321,0.578
55,326,0.578
70,147,0.317
70,301,0.341
198,322,0.352
162,321,0.346
14,321,0.597
57,58,0.0
19,333,0.518
45,315,0.463
177,299,0.0
70,336,0.511
44,314,0.381
52,338,0.368
13,46,0.0
70,316,0.652
64,305,0.393
316,331,0.0
65,325,0.679
68,298,0.777
22,316,0.621
52,311,0.406
62,340,0.416
20,321,0.691
52,341,0.318
68,312,0.557
29,326,0.334
45,311,0.37
65,328,0.618
2,320,0.327
20,326,0.641
69,185,0.319
57,313,0.471
10,314,0.377
39,321,0.489
64,315,0.609
36,322,0.416
21,339,0.426
61,331,0.557
53,336,0.388
37,326,0.41
48,335,0.358
69,324,0.716
52,329,0.53
55,321,0.627
69,307,0.443
20,334,0.496
46,48,0.0
61,330,0.559
55,341,0.323
27,324,0.34
70,312,0.55
46,321,0.557
91,110,0.0
64,336,0.493
68,328,0.672
47,324,0.539
66,334,0.542
21,336,0.475
202,319,0.324
27,163,0.0
62,342,0.376
25,325,0.318
9,326,0.446
234,321,0.324
6,324,0.401
18,308,0.397
10,325,0.488
16,335,0.437
44,312,0.34
57,337,0.407
18,311,0.445
70,339,0.461
73,298,0.33
47,334,0.381
55,322,0.613
22,330,0.6
56,337,0.411
65,314,0.554
158,205,0.0
8,298,0.483
4,27,0.0
24,322,0.739
16,323,0.626
14,318,0.544
42,324,0.476
46,322,0.543
99,159,0.0
50,320,0.58
1,298,0.332
10,330,0.405
51,314,0.444
11,46,0.0
58,336,0.439
35,318,0.383
74,104,0.0
21,331,0.59
101,321,0.33
24,317,0.674
8,320,0.453
18,309,0.413
63,324,0.665
